CNPJ;ID_ESFERA
00768082000119;1
00993632000101;1
01072474000101;1
01612384000166;1
01612470000179;1
01612512000171;1
01612685000190;1
01612689000178;1
01612770000158;1
01612770000239;1
01612771000100;1
01612967000278;1
01617975000126;1
01966585000161;1
02322480000132;1
02512102000111;1
02541284000159;1
02585539000185;1
03490565000192;1
04686235000130;1
04887257000168;1
05074663000174;1
05216802000157;1
05497410000103;1
05508993000120;1
05525298000177;1
05564825000152;1
06072647000105;1
06073929000127;1
06074005000145;1
06074193000101;1
06074909000170;1
06075208000156;1
06077585000124;1
06079569000170;1
06081540000123;1
06093534000196;1
00387196000119;1
01612351000205;1
01612651000103;1
01612771000283;1
01613663000144;1
02345672000164;1
03061856000165;1
03638304000177;1
04047430000110;1
04275034000140;1
04480043000172;1
04574945000178;1
05065089000198;1
05410610000187;1
06070449000102;1
06073819000165;1
06074688000130;1
06075191000137;1
06080880000130;1
06081771000137;1
06087889000172;1
07045207000121;1
07830715000110;1
08619650000121;1
08700684000146;1
08702862000178;1
08702862000330;1
08737694000407;1
08737694000580;1
08737694000741;1
08749525000136;1
08767154000468;1
08778029000291;1
08778318001505;1
08781412000118;1
08781791000499;1
08781791000570;1
08782146000148;1
01612304000253;1
01612532000142;1
01612553000168;1
01612642000104;1
01613339000207;1
01615784000125;1
01617975000207;1
01621539000120;1
01681875000169;1
01896159000107;1
02912550000102;1
04223191000101;1
04569259000109;1
05291370000149;1
05626697000124;1
06068938000120;1
06070508000142;1
06071983000133;1
06072188000160;1
06073710000128;1
06073714000106;1
06073947000109;1
06074236000159;1
06074965000105;1
06075179000122;1
06076113000157;1
06077860000100;1
06081394000136;1
06083078000101;1
08184378000102;1
08608937000156;1
08686877000190;1
08694222000163;1
08702862000259;1
08702862000844;1
08717584000122;1
00534567000148;1
00825156000101;1
01612366000184;1
01612637000100;1
01612643000159;1
01612650000150;1
01612686000134;1
01612967000197;1
02350102000162;1
02372723000147;1
02390313000129;1
02938882000166;1
03778238000130;1
04551067000175;1
04849697000120;1
04896266000115;1
05096767000180;1
05408201000146;1
06073143000100;1
06073447000177;1
06073823000123;1
06074982000142;1
06075036000110;1
06077923000128;1
06083229000113;1
06095627000150;1
06104859000127;1
07356317000104;1
07435385000169;1
07796393000130;1
07842573000101;1
08073522000125;1
08448753000176;1
08608754000130;1
08612869000107;1
08715618000140;1
08785479000392;1
08785479000805;1
08787012000110;1
08787236000202;1
08790172000541;1
08806754001117;1
08806762000191;1
08809444000699;1
08809444000931;1
08864852000139;1
08865628000242;1
08865628000404;1
08865628000757;1
08865636000370;1
08865636000612;1
08865644000154;1
08868937000195;1
08869489000497;1
08869539000193;1
08872459000197;1
08873226000109;1
08881567000630;1
08881666000108;1
08881666000701;1
08883217000522;1
08883951000672;1
08883969000402;1
08884066000365;1
08888968000108;1
08898124000300;1
08898124000652;1
08902934000473;1
08916785000159;1
08916785001554;1
08917080000407;1
08917106000328;1
08921876000425;1
08924581001050;1
08924813000180;1
08927105000607;1
00602213000193;1
00797970000160;1
00853469000173;1
01612304000172;1
01612473000102;1
01612641000160;1
01612691000147;1
01613323000113;1
02038442000152;1
02207831000164;1
02464379000116;1
02512104000100;1
02749561000113;1
02938829000165;1
03405038000132;1
03474832000138;1
03506956000158;1
04047470000161;1
04424145000170;1
04875700000180;1
04911865000160;1
05635980000112;1
06071614000140;1
06072228000173;1
06074065000168;1
06079209000179;1
06083068000168;1
06083156000160;1
06084678000186;1
06099912000149;1
06115767000142;1
06533588000125;1
07891717000110;1
08242607000190;1
08701708000181;1
